Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00131	9	6569566	142857	134362	0.021745272062111867	0.020452188165854486	0.9493664074901127	0.9109244442474346	0.9817094017094017	0.9593159976619952	0.9895983819705287	0.8275812378413431
HG00132	9	6569706	114583	107405	0.01744111532540421	0.01634852457629002	0.9470870830232087	0.9055208361760773	0.9799192520186996	0.958583731402058	0.9857108906185016	0.8193124278226881
HG00135	9	6569569	129706	121713	0.019743456534210998	0.018526786155986793	0.9470284046289025	0.9083987974008341	0.9797835312067897	0.958015438806865	0.9878450707938935	0.8198611554420683
HG00136	9	6569540	119185	111968	0.018142061696861576	0.017043506851316836	0.9468463349297832	0.9125397367522265	0.9798228094433349	0.9601745143233454	0.9842727195443339	0.8262653307997927
HG00137	9	6569545	154025	144784	0.023445307095088016	0.022038664778154346	0.9449960755976927	0.9166906593180603	0.9798265159955435	0.9620394444796753	0.9838652717079416	0.824295373903729
HG00138	9	6569595	124050	116425	0.018882442524995834	0.01772179259147634	0.9466073241196221	0.9096073601126138	0.9810705283447833	0.9597365379439193	0.9869357698077186	0.8193676215636093
HG00140	9	6569566	140746	132246	0.02142394185551983	0.020130096873979195	0.947719040151	0.9116113274803618	0.9815021939258367	0.9583865489607163	0.9892550143266475	0.8262176353431107
HG00141	9	6569691	146012	137398	0.022225093996049435	0.020913921217908117	0.9494438692893737	0.9114715104335603	0.9816581371545547	0.9606774015927801	0.9892975332691811	0.8283927584300719
HG00142	9	6569599	177296	166317	0.026987339714341772	0.025316157043983965	0.9482087956892087	0.9050798867251687	0.9810504072799154	0.9565570216881399	0.9864913784890921	0.8258736443449819
HG00143	9	6569647	148037	139221	0.022533478587205676	0.02119154956118647	0.9475691259336915	0.9143245219935221	0.9814845844504021	0.9605595260235394	0.9884784818705523	0.8222783743946094
HG00145	9	6569564	112667	105459	0.01714984434279048	0.016052663464424733	0.9442486164325244	0.9084619927444528	0.9767720176249796	0.9593598615916955	0.986351561784373	0.811900886236209
HG00146	9	6569559	245439	230500	0.03736004197542027	0.03508606894313606	0.9469338784917635	0.909326359088947	0.9823170426692012	0.9588005402683759	0.9862440273742479	0.8234961105403309
HG00148	9	6569554	165100	155162	0.02513108195777065	0.023618346085594242	0.9473553307909136	0.9146790013374945	0.9806588656182456	0.9601483633220901	0.989012975535291	0.8222152788626778
HG00149	9	6569644	138209	128972	0.02103751740581377	0.019631505147006442	0.9470031191165313	0.8935279938145267	0.9797927236459824	0.952880469357461	0.9888511387945137	0.8145571217419517
HG00150	9	6569506	128447	119794	0.019552002844658335	0.018234856623922713	0.9444047383707669	0.8950281631757333	0.9791464821222606	0.9541697394296952	0.9817851124722498	0.8171492376405359
HG00151	9	6569538	147829	138760	0.022502191173869455	0.021121728803456193	0.946313538325118	0.9100911932183071	0.9810471161324655	0.9604791211700086	0.9847358302642856	0.8235455826260266
HG00152	9	6569498	93498	87663	0.014232137676272981	0.013343941957208907	0.9452469276521667	0.9087998910230214	0.9771424973238461	0.9593631028752918	0.9824755172667697	0.8257329856861597
HG00154	9	6569459	141412	132251	0.021525669008665704	0.020131185840416996	0.9452585851365098	0.9003841686768516	0.9810025943593607	0.9561952440550688	0.9854548121348424	0.8198636125196713
HG00155	9	6569561	117137	110062	0.017830262935377265	0.01675332643992498	0.9481968189867761	0.9080022075055187	0.9812463371752296	0.9591180754356888	0.987189871898719	0.834697353662083
HG00156	9	6569563	126536	118564	0.01926094627603084	0.018047471346267628	0.9483810345358761	0.9027901234567901	0.9804905767591628	0.956113242122591	0.9880289682754148	0.8237259816207184
